StateCode;State;Year;Population
IL;Illinois;2023;12642259
IL;Illinois;2024;12710158
IN;Indiana;1990;5557798
IN;Indiana;1991;5616388
IN;Indiana;1992;5674547
IN;Indiana;1993;5739019
IN;Indiana;1994;5793526
IN;Indiana;1995;5851459
IN;Indiana;1996;5906013
IN;Indiana;1997;5955267
IN;Indiana;1998;5998881
IN;Indiana;1999;6044970
IN;Indiana;2000;6091866
IN;Indiana;2001;6127760
IN;Indiana;2002;6155967
IN;Indiana;2003;6196638
IN;Indiana;2004;6233007
IN;Indiana;2005;6278616
IN;Indiana;2006;6332669
IN;Indiana;2007;6379599
IN;Indiana;2008;6424806
IN;Indiana;2009;6459325
IN;Indiana;2010;6490555
IN;Indiana;2011;6517250
IN;Indiana;2012;6538989
IN;Indiana;2013;6570575
IN;Indiana;2014;6596019
IN;Indiana;2015;6611442
IN;Indiana;2016;6637898
IN;Indiana;2017;6662068
IN;Indiana;2018;6698481
IN;Indiana;2019;6731010
IN;Indiana;2020;6790497
IN;Indiana;2021;6815907
IN;Indiana;2022;6844545
IN;Indiana;2023;6880131
IN;Indiana;2024;6924275
IA;Iowa;1990;2781018
IA;Iowa;1991;2797613
IA;Iowa;1992;2818401
IA;Iowa;1993;2836972
IA;Iowa;1994;2850746
IA;Iowa;1995;2867373
IA;Iowa;1996;2880001
IA;Iowa;1997;2891119
IA;Iowa;1998;2902872
IA;Iowa;1999;2917634
IA;Iowa;2000;2929067
IA;Iowa;2001;2931997
IA;Iowa;2002;2934234
IA;Iowa;2003;2941999
IA;Iowa;2004;2953635
IA;Iowa;2005;2964454
IA;Iowa;2006;2982644
IA;Iowa;2007;2999212
IA;Iowa;2008;3016734
IA;Iowa;2009;3032870
IA;Iowa;2010;3050819
IA;Iowa;2011;3066772
IA;Iowa;2012;3076844
IA;Iowa;2013;3093935
IA;Iowa;2014;3110643
IA;Iowa;2015;3122541
IA;Iowa;2016;3133210
IA;Iowa;2017;3143734
IA;Iowa;2018;3149900
IA;Iowa;2019;3159596
IA;Iowa;2020;3191141
IA;Iowa;2021;3198613
IA;Iowa;2022;3202820
IA;Iowa;2023;3218414
IA;Iowa;2024;3241488
KS;Kansas;1990;2481349
KS;Kansas;1991;2498722
KS;Kansas;1992;2532395
KS;Kansas;1993;2556547
KS;Kansas;1994;2580513
KS;Kansas;1995;2601008
KS;Kansas;1996;2614554
KS;Kansas;1997;2635292
KS;Kansas;1998;2660598
KS;Kansas;1999;2678338
KS;Kansas;2000;2693681
KS;Kansas;2001;2702162
KS;Kansas;2002;2713535
KS;Kansas;2003;2723004
KS;Kansas;2004;2734373
KS;Kansas;2005;2745299
KS;Kansas;2006;2762931
KS;Kansas;2007;2783785
KS;Kansas;2008;2808076
KS;Kansas;2009;2832704
KS;Kansas;2010;2858266
KS;Kansas;2011;2869677
KS;Kansas;2012;2886024
KS;Kansas;2013;2894306
KS;Kansas;2014;2901861
KS;Kansas;2015;2910717
KS;Kansas;2016;2912977
KS;Kansas;2017;2910892
KS;Kansas;2018;2912748
KS;Kansas;2019;2912635
KS;Kansas;2020;2938172
KS;Kansas;2021;2938338
KS;Kansas;2022;2937324
KS;Kansas;2023;2951500
KS;Kansas;2024;2970606
KY;Kentucky;1990;3694048
KY;Kentucky;1991;3722328
KY;Kentucky;1992;3765469
KY;Kentucky;1993;3812206
KY;Kentucky;1994;3849088
KY;Kentucky;1995;3887427
KY;Kentucky;1996;3919536
KY;Kentucky;1997;3952747
KY;Kentucky;1998;3985391
KY;Kentucky;1999;4018053
KY;Kentucky;2000;4049021
KY;Kentucky;2001;4068132
KY;Kentucky;2002;4089875
KY;Kentucky;2003;4117170
KY;Kentucky;2004;4146101
KY;Kentucky;2005;4182742
KY;Kentucky;2006;4219239
KY;Kentucky;2007;4256672
KY;Kentucky;2008;4289878
KY;Kentucky;2009;4317074
KY;Kentucky;2010;4348464
KY;Kentucky;2011;4370817
KY;Kentucky;2012;4387865
KY;Kentucky;2013;4406906
KY;Kentucky;2014;4416992
KY;Kentucky;2015;4429126
KY;Kentucky;2016;4440306
KY;Kentucky;2017;4455590
KY;Kentucky;2018;4464273
KY;Kentucky;2019;4472345
KY;Kentucky;2020;4508318
KY;Kentucky;2021;4507583
KY;Kentucky;2022;4519233
KY;Kentucky;2023;4550595
KY;Kentucky;2024;4588372
LA;Louisiana;1990;4221532
LA;Louisiana;1991;4253279
LA;Louisiana;1992;4293003
LA;Louisiana;1993;4316428
LA;Louisiana;1994;4347481
LA;Louisiana;1995;4378779
LA;Louisiana;1996;4398877
LA;Louisiana;1997;4421072
LA;Louisiana;1998;4440344
LA;Louisiana;1999;4460811
LA;Louisiana;2000;4471885
LA;Louisiana;2001;4477875
LA;Louisiana;2002;4497267
LA;Louisiana;2003;4521042
LA;Louisiana;2004;4552238
LA;Louisiana;2005;4576628
LA;Louisiana;2006;4302665
LA;Louisiana;2007;4375581
LA;Louisiana;2008;4435586
LA;Louisiana;2009;4491648
LA;Louisiana;2010;4544635
LA;Louisiana;2011;4576244
LA;Louisiana;2012;4602067
LA;Louisiana;2013;4626040
LA;Louisiana;2014;4645938
LA;Louisiana;2015;4666998
LA;Louisiana;2016;4681346
LA;Louisiana;2017;4673673
LA;Louisiana;2018;4664450
LA;Louisiana;2019;4658285
LA;Louisiana;2020;4652301
LA;Louisiana;2021;4627971
LA;Louisiana;2022;4593687
LA;Louisiana;2023;4588071
LA;Louisiana;2024;4597740
ME;Maine;1990;1231719
ME;Maine;1991;1237081
ME;Maine;1992;1238508
ME;Maine;1993;1242302
ME;Maine;1994;1242662
ME;Maine;1995;1243481
ME;Maine;1996;1249060
ME;Maine;1997;1254774
ME;Maine;1998;1259127
ME;Maine;1999;1266808
ME;Maine;2000;1277072
ME;Maine;2001;1285692
ME;Maine;2002;1295960
ME;Maine;2003;1306513
ME;Maine;2004;1313688
ME;Maine;2005;1318787
ME;Maine;2006;1323619
ME;Maine;2007;1327040
ME;Maine;2008;1330509
ME;Maine;2009;1329590
ME;Maine;2010;1327651
ME;Maine;2011;1328473
ME;Maine;2012;1328094
ME;Maine;2013;1328543
ME;Maine;2014;1331217
ME;Maine;2015;1329098
ME;Maine;2016;1332348
ME;Maine;2017;1335743
ME;Maine;2018;1340123
ME;Maine;2019;1345770
ME;Maine;2020;1364571
ME;Maine;2021;1378931
ME;Maine;2022;1390922
ME;Maine;2023;1399646
ME;Maine;2024;1405012
MD;Maryland;1990;4799770
MD;Maryland;1991;4867641
MD;Maryland;1992;4923369
MD;Maryland;1993;4971889
MD;Maryland;1994;5023060
MD;Maryland;1995;5070033
MD;Maryland;1996;5111986
MD;Maryland;1997;5157328
MD;Maryland;1998;5204464
MD;Maryland;1999;5254509
MD;Maryland;2000;5311034
MD;Maryland;2001;5374691
MD;Maryland;2002;5440389
MD;Maryland;2003;5496269
MD;Maryland;2004;5546935
MD;Maryland;2005;5592379
MD;Maryland;2006;5627367
MD;Maryland;2007;5653408
MD;Maryland;2008;5684965
MD;Maryland;2009;5730388
MD;Maryland;2010;5788784
MD;Maryland;2011;5840241
MD;Maryland;2012;5888375
MD;Maryland;2013;5925197
MD;Maryland;2014;5960064
MD;Maryland;2015;5988528
MD;Maryland;2016;6007014
MD;Maryland;2017;6028186
MD;Maryland;2018;6042153
MD;Maryland;2019;6054954
MD;Maryland;2020;6177935
MD;Maryland;2021;6179403
MD;Maryland;2022;6192440
MD;Maryland;2023;6217062
MD;Maryland;2024;6263220
MA;Massachusetts;1990;6022639
MA;Massachusetts;1991;6018470
MA;Massachusetts;1992;6028709
MA;Massachusetts;1993;6060569
MA;Massachusetts;1994;6095241
MA;Massachusetts;1995;6141445
MA;Massachusetts;1996;6179756
MA;Massachusetts;1997;6226058
MA;Massachusetts;1998;6271838
MA;Massachusetts;1999;6317345
MA;Massachusetts;2000;6361104
MA;Massachusetts;2001;6397634
MA;Massachusetts;2002;6417206
MA;Massachusetts;2003;6422565
MA;Massachusetts;2004;6412281
MA;Massachusetts;2005;6403290
MA;Massachusetts;2006;6410084
MA;Massachusetts;2007;6431559
MA;Massachusetts;2008;6468967
MA;Massachusetts;2009;6517613
MA;Massachusetts;2010;6566440
MA;Massachusetts;2011;6614218
MA;Massachusetts;2012;6664269
MA;Massachusetts;2013;6715158
MA;Massachusetts;2014;6764864
MA;Massachusetts;2015;6797484
MA;Massachusetts;2016;6827280
MA;Massachusetts;2017;6863560
MA;Massachusetts;2018;6885720
MA;Massachusetts;2019;6894883
MA;Massachusetts;2020;6994598
MA;Massachusetts;2021;7000474
MA;Massachusetts;2022;7022468
MA;Massachusetts;2023;7066568
MA;Massachusetts;2024;7136171
MI;Michigan;1990;9311319
MI;Michigan;1991;9400446
MI;Michigan;1992;9479065
MI;Michigan;1993;9540114
MI;Michigan;1994;9597737
MI;Michigan;1995;9676211
MI;Michigan;1996;9758645
MI;Michigan;1997;9809051
MI;Michigan;1998;9847942
MI;Michigan;1999;9897116
MI;Michigan;2000;9952450
MI;Michigan;2001;9991120
MI;Michigan;2002;10015710
MI;Michigan;2003;10041152
MI;Michigan;2004;10055315
MI;Michigan;2005;10051137
MI;Michigan;2006;10036081
MI;Michigan;2007;10001284
MI;Michigan;2008;9946889
MI;Michigan;2009;9901591
MI;Michigan;2010;9877597
MI;Michigan;2011;9883053
MI;Michigan;2012;9898289
MI;Michigan;2013;9914802
MI;Michigan;2014;9932033
MI;Michigan;2015;9934483
MI;Michigan;2016;9954117
MI;Michigan;2017;9976752
MI;Michigan;2018;9987286
MI;Michigan;2019;9984795
MI;Michigan;2020;10072703
MI;Michigan;2021;10041351
MI;Michigan;2022;10050877
MI;Michigan;2023;10083356
MI;Michigan;2024;10140459
MN;Minnesota;1990;4389857
MN;Minnesota;1991;4440859
MN;Minnesota;1992;4495572
MN;Minnesota;1993;4555956
MN;Minnesota;1994;4610355
MN;Minnesota;1995;4660180
MN;Minnesota;1996;4712827
MN;Minnesota;1997;4763390
MN;Minnesota;1998;4813412
MN;Minnesota;1999;4873481
MN;Minnesota;2000;4933692
MN;Minnesota;2001;4982796
MN;Minnesota;2002;5018935
MN;Minnesota;2003;5053572
MN;Minnesota;2004;5087713
MN;Minnesota;2005;5119598
MN;Minnesota;2006;5163555
MN;Minnesota;2007;5207203
MN;Minnesota;2008;5247018
MN;Minnesota;2009;5281203
MN;Minnesota;2010;5310934
MN;Minnesota;2011;5346620
MN;Minnesota;2012;5377500
MN;Minnesota;2013;5414722
MN;Minnesota;2014;5452665
MN;Minnesota;2015;5484002
MN;Minnesota;2016;5525360
MN;Minnesota;2017;5569283
MN;Minnesota;2018;5608762
MN;Minnesota;2019;5640053
MN;Minnesota;2020;5710735
MN;Minnesota;2021;5718660
MN;Minnesota;2022;5721621
MN;Minnesota;2023;5753048
MN;Minnesota;2024;5793151
MS;Mississippi;1990;2578897
MS;Mississippi;1991;2598733
MS;Mississippi;1992;2623734
MS;Mississippi;1993;2655100
MS;Mississippi;1994;2688992
MS;Mississippi;1995;2722659
MS;Mississippi;1996;2748085
MS;Mississippi;1997;2777004
MS;Mississippi;1998;2804834
MS;Mississippi;1999;2828408
MS;Mississippi;2000;2848353
MS;Mississippi;2001;2852994
MS;Mississippi;2002;2858681
MS;Mississippi;2003;2868312
MS;Mississippi;2004;2889010
MS;Mississippi;2005;2905943
MS;Mississippi;2006;2904978
MS;Mississippi;2007;2928350
MS;Mississippi;2008;2947806
MS;Mississippi;2009;2958774
MS;Mississippi;2010;2970615
MS;Mississippi;2011;2979147
MS;Mississippi;2012;2984599
MS;Mississippi;2013;2989839
MS;Mississippi;2014;2991892
MS;Mississippi;2015;2990231
MS;Mississippi;2016;2990595
MS;Mississippi;2017;2990674
MS;Mississippi;2018;2982879
MS;Mississippi;2019;2978227
MS;Mississippi;2020;2958536
MS;Mississippi;2021;2947209
MS;Mississippi;2022;2941939
MS;Mississippi;2023;2943172
MS;Mississippi;2024;2943045
MO;Missouri;1990;5128880
MO;Missouri;1991;5170800
MO;Missouri;1992;5217101
MO;Missouri;1993;5271175
MO;Missouri;1994;5324497
MO;Missouri;1995;5378247
MO;Missouri;1996;5431553
MO;Missouri;1997;5481193
MO;Missouri;1998;5521765
MO;Missouri;1999;5561948
MO;Missouri;2000;5607285
MO;Missouri;2001;5641142
MO;Missouri;2002;5674825
MO;Missouri;2003;5709403
MO;Missouri;2004;5747741
MO;Missouri;2005;5790300
MO;Missouri;2006;5842704
MO;Missouri;2007;5887612
MO;Missouri;2008;5923916
MO;Missouri;2009;5961088
MO;Missouri;2010;5996089
MO;Missouri;2011;6011182
MO;Missouri;2012;6026027
MO;Missouri;2013;6042989
MO;Missouri;2014;6059130
MO;Missouri;2015;6075411
MO;Missouri;2016;6091384
MO;Missouri;2017;6111382
MO;Missouri;2018;6125986
MO;Missouri;2019;6140475
MO;Missouri;2020;6154744
MO;Missouri;2021;6171374
MO;Missouri;2022;6179414
MO;Missouri;2023;6208038
MO;Missouri;2024;6245466
MT;Montana;1990;800204
MT;Montana;1991;809680
MT;Montana;1992;825770
MT;Montana;1993;844761
MT;Montana;1994;861306
MT;Montana;1995;876553
MT;Montana;1996;886254
MT;Montana;1997;889865
MT;Montana;1998;892431
MT;Montana;1999;897508
MT;Montana;2000;903773
MT;Montana;2001;906961
MT;Montana;2002;911667
