Countyfips;StateCode;State;Year;Total Population
0;CO;Colorado;2024;5957493
0;CT;Connecticut;1990;3291967
0;CT;Connecticut;1991;3302895
0;CT;Connecticut;1992;3300712
0;CT;Connecticut;1993;3309175
0;CT;Connecticut;1994;3316121
0;CT;Connecticut;1995;3324144
0;CT;Connecticut;1996;3336685
0;CT;Connecticut;1997;3349348
0;CT;Connecticut;1998;3365352
0;CT;Connecticut;1999;3386401
0;CT;Connecticut;2000;3411777
0;CT;Connecticut;2001;3432835
0;CT;Connecticut;2002;3458749
0;CT;Connecticut;2003;3484336
0;CT;Connecticut;2004;3496094
0;CT;Connecticut;2005;3506956
0;CT;Connecticut;2006;3517460
0;CT;Connecticut;2007;3527270
0;CT;Connecticut;2008;3545579
0;CT;Connecticut;2009;3561807
0;CT;Connecticut;2010;3579173
0;CT;Connecticut;2011;3588632
0;CT;Connecticut;2012;3595211
0;CT;Connecticut;2013;3595792
0;CT;Connecticut;2014;3595697
0;CT;Connecticut;2015;3588561
0;CT;Connecticut;2016;3579830
0;CT;Connecticut;2017;3575324
0;CT;Connecticut;2018;3574561
0;CT;Connecticut;2019;3566022
0;CT;Connecticut;2020;3579918
0;CT;Connecticut;2021;3606607
0;CT;Connecticut;2022;3617925
0;CT;Connecticut;2023;3643023
0;CT;Connecticut;2024;3675069
0;DE;Delaware;1990;669567
0;DE;Delaware;1991;683080
0;DE;Delaware;1992;694927
0;DE;Delaware;1993;706378
0;DE;Delaware;1994;717545
0;DE;Delaware;1995;729735
0;DE;Delaware;1996;740978
0;DE;Delaware;1997;751487
0;DE;Delaware;1998;763335
0;DE;Delaware;1999;774990
0;DE;Delaware;2000;786373
0;DE;Delaware;2001;795699
0;DE;Delaware;2002;806169
0;DE;Delaware;2003;818003
0;DE;Delaware;2004;830803
0;DE;Delaware;2005;845150
0;DE;Delaware;2006;859268
0;DE;Delaware;2007;871749
0;DE;Delaware;2008;883874
0;DE;Delaware;2009;891730
0;DE;Delaware;2010;899647
0;DE;Delaware;2011;907590
0;DE;Delaware;2012;915518
0;DE;Delaware;2013;924062
0;DE;Delaware;2014;933131
0;DE;Delaware;2015;942065
0;DE;Delaware;2016;949989
0;DE;Delaware;2017;957942
0;DE;Delaware;2018;966985
0;DE;Delaware;2019;976668
0;DE;Delaware;2020;991928
0;DE;Delaware;2021;1005062
0;DE;Delaware;2022;1020625
0;DE;Delaware;2023;1036423
0;DE;Delaware;2024;1051917
0;DC;District of Columbia;1990;605321
0;DC;District of Columbia;1991;600870
0;DC;District of Columbia;1992;597567
0;DC;District of Columbia;1993;595302
0;DC;District of Columbia;1994;589240
0;DC;District of Columbia;1995;580519
0;DC;District of Columbia;1996;572379
0;DC;District of Columbia;1997;567739
0;DC;District of Columbia;1998;565232
0;DC;District of Columbia;1999;570220
0;DC;District of Columbia;2000;572046
0;DC;District of Columbia;2001;574504
0;DC;District of Columbia;2002;573158
0;DC;District of Columbia;2003;568502
0;DC;District of Columbia;2004;567754
0;DC;District of Columbia;2005;567136
0;DC;District of Columbia;2006;570681
0;DC;District of Columbia;2007;574404
0;DC;District of Columbia;2008;580236
0;DC;District of Columbia;2009;592228
0;DC;District of Columbia;2010;605282
0;DC;District of Columbia;2011;620290
0;DC;District of Columbia;2012;635737
0;DC;District of Columbia;2013;651559
0;DC;District of Columbia;2014;663603
0;DC;District of Columbia;2015;677014
0;DC;District of Columbia;2016;687576
0;DC;District of Columbia;2017;697079
0;DC;District of Columbia;2018;704147
0;DC;District of Columbia;2019;708253
0;DC;District of Columbia;2020;670917
0;DC;District of Columbia;2021;669256
0;DC;District of Columbia;2022;676725
0;DC;District of Columbia;2023;687324
0;DC;District of Columbia;2024;702250
0;FL;Florida;1990;13033307
0;FL;Florida;1991;13369798
0;FL;Florida;1992;13650553
0;FL;Florida;1993;13927185
0;FL;Florida;1994;14239444
0;FL;Florida;1995;14537875
0;FL;Florida;1996;14853360
0;FL;Florida;1997;15186304
0;FL;Florida;1998;15486559
0;FL;Florida;1999;15759421
0;FL;Florida;2000;16047515
0;FL;Florida;2001;16356966
0;FL;Florida;2002;16689370
0;FL;Florida;2003;17004085
0;FL;Florida;2004;17415318
0;FL;Florida;2005;17842038
0;FL;Florida;2006;18166990
0;FL;Florida;2007;18367842
0;FL;Florida;2008;18527305
0;FL;Florida;2009;18652644
0;FL;Florida;2010;18846143
0;FL;Florida;2011;19055607
0;FL;Florida;2012;19302016
0;FL;Florida;2013;19551678
0;FL;Florida;2014;19853880
0;FL;Florida;2015;20219111
0;FL;Florida;2016;20627237
0;FL;Florida;2017;20977089
0;FL;Florida;2018;21254926
0;FL;Florida;2019;21492056
0;FL;Florida;2020;21592035
0;FL;Florida;2021;21831949
0;FL;Florida;2022;22379312
0;FL;Florida;2023;22904868
0;FL;Florida;2024;23372215
0;GA;Georgia;1990;6512602
0;GA;Georgia;1991;6653005
0;GA;Georgia;1992;6817203
0;GA;Georgia;1993;6978240
0;GA;Georgia;1994;7157165
0;GA;Georgia;1995;7328413
0;GA;Georgia;1996;7501069
0;GA;Georgia;1997;7685099
0;GA;Georgia;1998;7863536
0;GA;Georgia;1999;8045965
0;GA;Georgia;2000;8227303
0;GA;Georgia;2001;8377038
0;GA;Georgia;2002;8508256
0;GA;Georgia;2003;8622793
0;GA;Georgia;2004;8769252
0;GA;Georgia;2005;8925922
0;GA;Georgia;2006;9155813
0;GA;Georgia;2007;9349988
0;GA;Georgia;2008;9504843
0;GA;Georgia;2009;9620846
0;GA;Georgia;2010;9712209
0;GA;Georgia;2011;9803630
0;GA;Georgia;2012;9903580
0;GA;Georgia;2013;9975592
0;GA;Georgia;2014;10071204
0;GA;Georgia;2015;10183353
0;GA;Georgia;2016;10308442
0;GA;Georgia;2017;10417031
0;GA;Georgia;2018;10519389
0;GA;Georgia;2019;10628020
0;GA;Georgia;2020;10732888
0;GA;Georgia;2021;10792060
0;GA;Georgia;2022;10931805
0;GA;Georgia;2023;11064432
0;GA;Georgia;2024;11180878
0;HI;Hawaii;1990;1113491
0;HI;Hawaii;1991;1136754
0;HI;Hawaii;1992;1158613
0;HI;Hawaii;1993;1172838
0;HI;Hawaii;1994;1187536
0;HI;Hawaii;1995;1196854
0;HI;Hawaii;1996;1203755
0;HI;Hawaii;1997;1211640
0;HI;Hawaii;1998;1215233
0;HI;Hawaii;1999;1210300
0;HI;Hawaii;2000;1213519
0;HI;Hawaii;2001;1225948
0;HI;Hawaii;2002;1239613
0;HI;Hawaii;2003;1251154
0;HI;Hawaii;2004;1273569
0;HI;Hawaii;2005;1292729
0;HI;Hawaii;2006;1309731
0;HI;Hawaii;2007;1315675
0;HI;Hawaii;2008;1332213
0;HI;Hawaii;2009;1346717
0;HI;Hawaii;2010;1364004
0;HI;Hawaii;2011;1379562
0;HI;Hawaii;2012;1395199
0;HI;Hawaii;2013;1408822
0;HI;Hawaii;2014;1415335
0;HI;Hawaii;2015;1422999
0;HI;Hawaii;2016;1428885
0;HI;Hawaii;2017;1425763
0;HI;Hawaii;2018;1423102
0;HI;Hawaii;2019;1415615
0;HI;Hawaii;2020;1451252
0;HI;Hawaii;2021;1447029
0;HI;Hawaii;2022;1440359
0;HI;Hawaii;2023;1441387
0;HI;Hawaii;2024;1446146
0;ID;Idaho;1990;1012384
0;ID;Idaho;1991;1041316
0;ID;Idaho;1992;1071685
0;ID;Idaho;1993;1108768
0;ID;Idaho;1994;1145140
0;ID;Idaho;1995;1177322
0;ID;Idaho;1996;1203083
0;ID;Idaho;1997;1228520
0;ID;Idaho;1998;1252330
0;ID;Idaho;1999;1275674
0;ID;Idaho;2000;1299430
0;ID;Idaho;2001;1319962
0;ID;Idaho;2002;1340372
0;ID;Idaho;2003;1363380
0;ID;Idaho;2004;1391802
0;ID;Idaho;2005;1428241
0;ID;Idaho;2006;1468669
0;ID;Idaho;2007;1505105
0;ID;Idaho;2008;1534320
0;ID;Idaho;2009;1554439
0;ID;Idaho;2010;1570819
0;ID;Idaho;2011;1584272
0;ID;Idaho;2012;1595910
0;ID;Idaho;2013;1612053
0;ID;Idaho;2014;1632248
0;ID;Idaho;2015;1652495
0;ID;Idaho;2016;1684036
0;ID;Idaho;2017;1719745
0;ID;Idaho;2018;1752074
0;ID;Idaho;2019;1789060
0;ID;Idaho;2020;1849415
0;ID;Idaho;2021;1904848
0;ID;Idaho;2022;1944299
0;ID;Idaho;2023;1971122
0;ID;Idaho;2024;2001619
0;IL;Illinois;1990;11453316
0;IL;Illinois;1991;11568964
0;IL;Illinois;1992;11694184
0;IL;Illinois;1993;11809579
0;IL;Illinois;1994;11912585
0;IL;Illinois;1995;12008437
0;IL;Illinois;1996;12101997
0;IL;Illinois;1997;12185715
0;IL;Illinois;1998;12271847
0;IL;Illinois;1999;12359020
0;IL;Illinois;2000;12434161
0;IL;Illinois;2001;12488445
0;IL;Illinois;2002;12525556
0;IL;Illinois;2003;12556006
0;IL;Illinois;2004;12589773
0;IL;Illinois;2005;12609903
0;IL;Illinois;2006;12643955
0;IL;Illinois;2007;12695866
0;IL;Illinois;2008;12747038
0;IL;Illinois;2009;12796778
0;IL;Illinois;2010;12840545
0;IL;Illinois;2011;12867783
0;IL;Illinois;2012;12883029
0;IL;Illinois;2013;12895778
0;IL;Illinois;2014;12885092
0;IL;Illinois;2015;12859585
0;IL;Illinois;2016;12821709
0;IL;Illinois;2017;12779893
0;IL;Illinois;2018;12724685
0;IL;Illinois;2019;12667017
0;IL;Illinois;2020;12799088
0;IL;Illinois;2021;12700641
0;IL;Illinois;2022;12621821
0;IL;Illinois;2023;12642259
0;IL;Illinois;2024;12710158
0;IN;Indiana;1990;5557798
0;IN;Indiana;1991;5616388
0;IN;Indiana;1992;5674547
0;IN;Indiana;1993;5739019
0;IN;Indiana;1994;5793526
0;IN;Indiana;1995;5851459
0;IN;Indiana;1996;5906013
0;IN;Indiana;1997;5955267
0;IN;Indiana;1998;5998881
0;IN;Indiana;1999;6044970
0;IN;Indiana;2000;6091866
0;IN;Indiana;2001;6127760
0;IN;Indiana;2002;6155967
0;IN;Indiana;2003;6196638
0;IN;Indiana;2004;6233007
0;IN;Indiana;2005;6278616
0;IN;Indiana;2006;6332669
0;IN;Indiana;2007;6379599
0;IN;Indiana;2008;6424806
0;IN;Indiana;2009;6459325
0;IN;Indiana;2010;6490555
0;IN;Indiana;2011;6517250
0;IN;Indiana;2012;6538989
0;IN;Indiana;2013;6570575
0;IN;Indiana;2014;6596019
0;IN;Indiana;2015;6611442
0;IN;Indiana;2016;6637898
0;IN;Indiana;2017;6662068
0;IN;Indiana;2018;6698481
0;IN;Indiana;2019;6731010
0;IN;Indiana;2020;6790497
0;IN;Indiana;2021;6815907
0;IN;Indiana;2022;6844545
0;IN;Indiana;2023;6880131
0;IN;Indiana;2024;6924275
0;IA;Iowa;1990;2781018
0;IA;Iowa;1991;2797613
0;IA;Iowa;1992;2818401
0;IA;Iowa;1993;2836972
0;IA;Iowa;1994;2850746
0;IA;Iowa;1995;2867373
0;IA;Iowa;1996;2880001
0;IA;Iowa;1997;2891119
0;IA;Iowa;1998;2902872
0;IA;Iowa;1999;2917634
0;IA;Iowa;2000;2929067
0;IA;Iowa;2001;2931997
0;IA;Iowa;2002;2934234
0;IA;Iowa;2003;2941999
0;IA;Iowa;2004;2953635
0;IA;Iowa;2005;2964454
0;IA;Iowa;2006;2982644
0;IA;Iowa;2007;2999212
0;IA;Iowa;2008;3016734
0;IA;Iowa;2009;3032870
0;IA;Iowa;2010;3050819
0;IA;Iowa;2011;3066772
0;IA;Iowa;2012;3076844
0;IA;Iowa;2013;3093935
0;IA;Iowa;2014;3110643
0;IA;Iowa;2015;3122541
0;IA;Iowa;2016;3133210
0;IA;Iowa;2017;3143734
0;IA;Iowa;2018;3149900
0;IA;Iowa;2019;3159596
0;IA;Iowa;2020;3191141
0;IA;Iowa;2021;3198613
0;IA;Iowa;2022;3202820
0;IA;Iowa;2023;3218414
0;IA;Iowa;2024;3241488
0;KS;Kansas;1990;2481349
0;KS;Kansas;1991;2498722
0;KS;Kansas;1992;2532395
0;KS;Kansas;1993;2556547
0;KS;Kansas;1994;2580513
0;KS;Kansas;1995;2601008
0;KS;Kansas;1996;2614554
0;KS;Kansas;1997;2635292
0;KS;Kansas;1998;2660598
0;KS;Kansas;1999;2678338
0;KS;Kansas;2000;2693681
0;KS;Kansas;2001;2702162
0;KS;Kansas;2002;2713535
0;KS;Kansas;2003;2723004
0;KS;Kansas;2004;2734373
0;KS;Kansas;2005;2745299
0;KS;Kansas;2006;2762931
0;KS;Kansas;2007;2783785
0;KS;Kansas;2008;2808076
0;KS;Kansas;2009;2832704
0;KS;Kansas;2010;2858266
0;KS;Kansas;2011;2869677
0;KS;Kansas;2012;2886024
0;KS;Kansas;2013;2894306
0;KS;Kansas;2014;2901861
0;KS;Kansas;2015;2910717
0;KS;Kansas;2016;2912977
0;KS;Kansas;2017;2910892
0;KS;Kansas;2018;2912748
0;KS;Kansas;2019;2912635
0;KS;Kansas;2020;2938172
0;KS;Kansas;2021;2938338
0;KS;Kansas;2022;2937324
0;KS;Kansas;2023;2951500
0;KS;Kansas;2024;2970606
0;KY;Kentucky;1990;3694048
0;KY;Kentucky;1991;3722328
0;KY;Kentucky;1992;3765469
0;KY;Kentucky;1993;3812206
0;KY;Kentucky;1994;3849088
0;KY;Kentucky;1995;3887427
0;KY;Kentucky;1996;3919536
0;KY;Kentucky;1997;3952747
0;KY;Kentucky;1998;3985391
0;KY;Kentucky;1999;4018053
0;KY;Kentucky;2000;4049021
0;KY;Kentucky;2001;4068132
0;KY;Kentucky;2002;4089875
0;KY;Kentucky;2003;4117170
0;KY;Kentucky;2004;4146101
0;KY;Kentucky;2005;4182742
0;KY;Kentucky;2006;4219239
0;KY;Kentucky;2007;4256672
0;KY;Kentucky;2008;4289878
0;KY;Kentucky;2009;4317074
0;KY;Kentucky;2010;4348464
0;KY;Kentucky;2011;4370817
0;KY;Kentucky;2012;4387865
0;KY;Kentucky;2013;4406906
0;KY;Kentucky;2014;4416992
0;KY;Kentucky;2015;4429126
0;KY;Kentucky;2016;4440306
0;KY;Kentucky;2017;4455590
0;KY;Kentucky;2018;4464273
0;KY;Kentucky;2019;4472345
0;KY;Kentucky;2020;4508318
0;KY;Kentucky;2021;4507583
0;KY;Kentucky;2022;4519233
0;KY;Kentucky;2023;4550595
0;KY;Kentucky;2024;4588372
0;LA;Louisiana;1990;4221532
0;LA;Louisiana;1991;4253279
0;LA;Louisiana;1992;4293003
0;LA;Louisiana;1993;4316428
0;LA;Louisiana;1994;4347481
0;LA;Louisiana;1995;4378779
0;LA;Louisiana;1996;4398877
0;LA;Louisiana;1997;4421072
0;LA;Louisiana;1998;4440344
0;LA;Louisiana;1999;4460811
0;LA;Louisiana;2000;4471885
0;LA;Louisiana;2001;4477875
0;LA;Louisiana;2002;4497267
0;LA;Louisiana;2003;4521042
0;LA;Louisiana;2004;4552238
0;LA;Louisiana;2005;4576628
0;LA;Louisiana;2006;4302665
0;LA;Louisiana;2007;4375581
0;LA;Louisiana;2008;4435586
0;LA;Louisiana;2009;4491648
0;LA;Louisiana;2010;4544635
0;LA;Louisiana;2011;4576244
0;LA;Louisiana;2012;4602067
0;LA;Louisiana;2013;4626040
0;LA;Louisiana;2014;4645938
0;LA;Louisiana;2015;4666998
0;LA;Louisiana;2016;4681346
0;LA;Louisiana;2017;4673673
0;LA;Louisiana;2018;4664450
0;LA;Louisiana;2019;4658285
0;LA;Louisiana;2020;4652301
0;LA;Louisiana;2021;4627971
0;LA;Louisiana;2022;4593687
0;LA;Louisiana;2023;4588071
0;LA;Louisiana;2024;4597740
0;ME;Maine;1990;1231719
0;ME;Maine;1991;1237081
0;ME;Maine;1992;1238508
0;ME;Maine;1993;1242302
0;ME;Maine;1994;1242662
0;ME;Maine;1995;1243481
0;ME;Maine;1996;1249060
0;ME;Maine;1997;1254774
0;ME;Maine;1998;1259127
0;ME;Maine;1999;1266808
0;ME;Maine;2000;1277072
0;ME;Maine;2001;1285692
0;ME;Maine;2002;1295960
0;ME;Maine;2003;1306513
0;ME;Maine;2004;1313688
0;ME;Maine;2005;1318787
0;ME;Maine;2006;1323619
0;ME;Maine;2007;1327040
0;ME;Maine;2008;1330509
0;ME;Maine;2009;1329590
0;ME;Maine;2010;1327651
0;ME;Maine;2011;1328473
0;ME;Maine;2012;1328094
0;ME;Maine;2013;1328543
0;ME;Maine;2014;1331217
0;ME;Maine;2015;1329098
0;ME;Maine;2016;1332348
0;ME;Maine;2017;1335743
0;ME;Maine;2018;1340123
0;ME;Maine;2019;1345770
0;ME;Maine;2020;1364571
0;ME;Maine;2021;1378931
0;ME;Maine;2022;1390922
0;ME;Maine;2023;1399646
0;ME;Maine;2024;1405012
0;MD;Maryland;1990;4799770
0;MD;Maryland;1991;4867641
0;MD;Maryland;1992;4923369
0;MD;Maryland;1993;4971889
0;MD;Maryland;1994;5023060
0;MD;Maryland;1995;5070033
0;MD;Maryland;1996;5111986
0;MD;Maryland;1997;5157328
0;MD;Maryland;1998;5204464
0;MD;Maryland;1999;5254509
0;MD;Maryland;2000;5311034
0;MD;Maryland;2001;5374691
0;MD;Maryland;2002;5440389
0;MD;Maryland;2003;5496269
0;MD;Maryland;2004;5546935
0;MD;Maryland;2005;5592379
0;MD;Maryland;2006;5627367
0;MD;Maryland;2007;5653408
0;MD;Maryland;2008;5684965
0;MD;Maryland;2009;5730388
0;MD;Maryland;2010;5788784
0;MD;Maryland;2011;5840241
0;MD;Maryland;2012;5888375
0;MD;Maryland;2013;5925197
0;MD;Maryland;2014;5960064
0;MD;Maryland;2015;5988528
0;MD;Maryland;2016;6007014
0;MD;Maryland;2017;6028186
0;MD;Maryland;2018;6042153
0;MD;Maryland;2019;6054954
0;MD;Maryland;2020;6177935
0;MD;Maryland;2021;6179403
0;MD;Maryland;2022;6192440
0;MD;Maryland;2023;6217062
0;MD;Maryland;2024;6263220
0;MA;Massachusetts;1990;6022639
0;MA;Massachusetts;1991;6018470
0;MA;Massachusetts;1992;6028709
0;MA;Massachusetts;1993;6060569
0;MA;Massachusetts;1994;6095241
0;MA;Massachusetts;1995;6141445
0;MA;Massachusetts;1996;6179756
0;MA;Massachusetts;1997;6226058
0;MA;Massachusetts;1998;6271838
0;MA;Massachusetts;1999;6317345
0;MA;Massachusetts;2000;6361104
0;MA;Massachusetts;2001;6397634
0;MA;Massachusetts;2002;6417206
0;MA;Massachusetts;2003;6422565
0;MA;Massachusetts;2004;6412281
0;MA;Massachusetts;2005;6403290
0;MA;Massachusetts;2006;6410084
0;MA;Massachusetts;2007;6431559
0;MA;Massachusetts;2008;6468967
0;MA;Massachusetts;2009;6517613
0;MA;Massachusetts;2010;6566440
0;MA;Massachusetts;2011;6614218
0;MA;Massachusetts;2012;6664269
0;MA;Massachusetts;2013;6715158
0;MA;Massachusetts;2014;6764864
0;MA;Massachusetts;2015;6797484
0;MA;Massachusetts;2016;6827280
0;MA;Massachusetts;2017;6863560
0;MA;Massachusetts;2018;6885720
0;MA;Massachusetts;2019;6894883
0;MA;Massachusetts;2020;6994598
0;MA;Massachusetts;2021;7000474
0;MA;Massachusetts;2022;7022468
0;MA;Massachusetts;2023;7066568
0;MA;Massachusetts;2024;7136171
0;MI;Michigan;1990;9311319
0;MI;Michigan;1991;9400446
0;MI;Michigan;1992;9479065
0;MI;Michigan;1993;9540114
0;MI;Michigan;1994;9597737
0;MI;Michigan;1995;9676211
0;MI;Michigan;1996;9758645
0;MI;Michigan;1997;9809051
0;MI;Michigan;1998;9847942
0;MI;Michigan;1999;9897116
0;MI;Michigan;2000;9952450
0;MI;Michigan;2001;9991120
0;MI;Michigan;2002;10015710
0;MI;Michigan;2003;10041152
0;MI;Michigan;2004;10055315
