Countyfips;State;Year;Total Population;StateCode
0;Colorado;2024;5957493;CO
0;Connecticut;1990;3291967;CT
0;Connecticut;1991;3302895;CT
0;Connecticut;1992;3300712;CT
0;Connecticut;1993;3309175;CT
0;Connecticut;1994;3316121;CT
0;Connecticut;1995;3324144;CT
0;Connecticut;1996;3336685;CT
0;Connecticut;1997;3349348;CT
0;Connecticut;1998;3365352;CT
0;Connecticut;1999;3386401;CT
0;Connecticut;2000;3411777;CT
0;Connecticut;2001;3432835;CT
0;Connecticut;2002;3458749;CT
0;Connecticut;2003;3484336;CT
0;Connecticut;2004;3496094;CT
0;Connecticut;2005;3506956;CT
0;Connecticut;2006;3517460;CT
0;Connecticut;2007;3527270;CT
0;Connecticut;2008;3545579;CT
0;Connecticut;2009;3561807;CT
0;Connecticut;2010;3579173;CT
0;Connecticut;2011;3588632;CT
0;Connecticut;2012;3595211;CT
0;Connecticut;2013;3595792;CT
0;Connecticut;2014;3595697;CT
0;Connecticut;2015;3588561;CT
0;Connecticut;2016;3579830;CT
0;Connecticut;2017;3575324;CT
0;Connecticut;2018;3574561;CT
0;Connecticut;2019;3566022;CT
0;Connecticut;2020;3579918;CT
0;Connecticut;2021;3606607;CT
0;Connecticut;2022;3617925;CT
0;Connecticut;2023;3643023;CT
0;Connecticut;2024;3675069;CT
0;Delaware;1990;669567;DE
0;Delaware;1991;683080;DE
0;Delaware;1992;694927;DE
0;Delaware;1993;706378;DE
0;Delaware;1994;717545;DE
0;Delaware;1995;729735;DE
0;Delaware;1996;740978;DE
0;Delaware;1997;751487;DE
0;Delaware;1998;763335;DE
0;Delaware;1999;774990;DE
0;Delaware;2000;786373;DE
0;Delaware;2001;795699;DE
0;Delaware;2002;806169;DE
0;Delaware;2003;818003;DE
0;Delaware;2004;830803;DE
0;Delaware;2005;845150;DE
0;Delaware;2006;859268;DE
0;Delaware;2007;871749;DE
0;Delaware;2008;883874;DE
0;Delaware;2009;891730;DE
0;Delaware;2010;899647;DE
0;Delaware;2011;907590;DE
0;Delaware;2012;915518;DE
0;Delaware;2013;924062;DE
0;Delaware;2014;933131;DE
0;Delaware;2015;942065;DE
0;Delaware;2016;949989;DE
0;Delaware;2017;957942;DE
0;Delaware;2018;966985;DE
0;Delaware;2019;976668;DE
0;Delaware;2020;991928;DE
0;Delaware;2021;1005062;DE
0;Delaware;2022;1020625;DE
0;Delaware;2023;1036423;DE
0;Delaware;2024;1051917;DE
0;District of Columbia;1990;605321;DC
0;District of Columbia;1991;600870;DC
0;District of Columbia;1992;597567;DC
0;District of Columbia;1993;595302;DC
0;District of Columbia;1994;589240;DC
0;District of Columbia;1995;580519;DC
0;District of Columbia;1996;572379;DC
0;District of Columbia;1997;567739;DC
0;District of Columbia;1998;565232;DC
0;District of Columbia;1999;570220;DC
0;District of Columbia;2000;572046;DC
0;District of Columbia;2001;574504;DC
0;District of Columbia;2002;573158;DC
0;District of Columbia;2003;568502;DC
0;District of Columbia;2004;567754;DC
0;District of Columbia;2005;567136;DC
0;District of Columbia;2006;570681;DC
0;District of Columbia;2007;574404;DC
0;District of Columbia;2008;580236;DC
0;District of Columbia;2009;592228;DC
0;District of Columbia;2010;605282;DC
0;District of Columbia;2011;620290;DC
0;District of Columbia;2012;635737;DC
0;District of Columbia;2013;651559;DC
0;District of Columbia;2014;663603;DC
0;District of Columbia;2015;677014;DC
0;District of Columbia;2016;687576;DC
0;District of Columbia;2017;697079;DC
0;District of Columbia;2018;704147;DC
0;District of Columbia;2019;708253;DC
0;District of Columbia;2020;670917;DC
0;District of Columbia;2021;669256;DC
0;District of Columbia;2022;676725;DC
0;District of Columbia;2023;687324;DC
0;District of Columbia;2024;702250;DC
0;Florida;1990;13033307;FL
0;Florida;1991;13369798;FL
0;Florida;1992;13650553;FL
0;Florida;1993;13927185;FL
0;Florida;1994;14239444;FL
0;Florida;1995;14537875;FL
0;Florida;1996;14853360;FL
0;Florida;1997;15186304;FL
0;Florida;1998;15486559;FL
0;Florida;1999;15759421;FL
0;Florida;2000;16047515;FL
0;Florida;2001;16356966;FL
0;Florida;2002;16689370;FL
0;Florida;2003;17004085;FL
0;Florida;2004;17415318;FL
0;Florida;2005;17842038;FL
0;Florida;2006;18166990;FL
0;Florida;2007;18367842;FL
0;Florida;2008;18527305;FL
0;Florida;2009;18652644;FL
0;Florida;2010;18846143;FL
0;Florida;2011;19055607;FL
0;Florida;2012;19302016;FL
0;Florida;2013;19551678;FL
0;Florida;2014;19853880;FL
0;Florida;2015;20219111;FL
0;Florida;2016;20627237;FL
0;Florida;2017;20977089;FL
0;Florida;2018;21254926;FL
0;Florida;2019;21492056;FL
0;Florida;2020;21592035;FL
0;Florida;2021;21831949;FL
0;Florida;2022;22379312;FL
0;Florida;2023;22904868;FL
0;Florida;2024;23372215;FL
0;Georgia;1990;6512602;GA
0;Georgia;1991;6653005;GA
0;Georgia;1992;6817203;GA
0;Georgia;1993;6978240;GA
0;Georgia;1994;7157165;GA
0;Georgia;1995;7328413;GA
0;Georgia;1996;7501069;GA
0;Georgia;1997;7685099;GA
0;Georgia;1998;7863536;GA
0;Georgia;1999;8045965;GA
0;Georgia;2000;8227303;GA
0;Georgia;2001;8377038;GA
0;Georgia;2002;8508256;GA
0;Georgia;2003;8622793;GA
0;Georgia;2004;8769252;GA
0;Georgia;2005;8925922;GA
0;Georgia;2006;9155813;GA
0;Georgia;2007;9349988;GA
0;Georgia;2008;9504843;GA
0;Georgia;2009;9620846;GA
0;Georgia;2010;9712209;GA
0;Georgia;2011;9803630;GA
0;Georgia;2012;9903580;GA
0;Georgia;2013;9975592;GA
0;Georgia;2014;10071204;GA
0;Georgia;2015;10183353;GA
0;Georgia;2016;10308442;GA
0;Georgia;2017;10417031;GA
0;Georgia;2018;10519389;GA
0;Georgia;2019;10628020;GA
0;Georgia;2020;10732888;GA
0;Georgia;2021;10792060;GA
0;Georgia;2022;10931805;GA
0;Georgia;2023;11064432;GA
0;Georgia;2024;11180878;GA
0;Hawaii;1990;1113491;HI
0;Hawaii;1991;1136754;HI
0;Hawaii;1992;1158613;HI
0;Hawaii;1993;1172838;HI
0;Hawaii;1994;1187536;HI
0;Hawaii;1995;1196854;HI
0;Hawaii;1996;1203755;HI
0;Hawaii;1997;1211640;HI
0;Hawaii;1998;1215233;HI
0;Hawaii;1999;1210300;HI
0;Hawaii;2000;1213519;HI
0;Hawaii;2001;1225948;HI
0;Hawaii;2002;1239613;HI
0;Hawaii;2003;1251154;HI
0;Hawaii;2004;1273569;HI
0;Hawaii;2005;1292729;HI
0;Hawaii;2006;1309731;HI
0;Hawaii;2007;1315675;HI
0;Hawaii;2008;1332213;HI
0;Hawaii;2009;1346717;HI
0;Hawaii;2010;1364004;HI
0;Hawaii;2011;1379562;HI
0;Hawaii;2012;1395199;HI
0;Hawaii;2013;1408822;HI
0;Hawaii;2014;1415335;HI
0;Hawaii;2015;1422999;HI
0;Hawaii;2016;1428885;HI
0;Hawaii;2017;1425763;HI
0;Hawaii;2018;1423102;HI
0;Hawaii;2019;1415615;HI
0;Hawaii;2020;1451252;HI
0;Hawaii;2021;1447029;HI
0;Hawaii;2022;1440359;HI
0;Hawaii;2023;1441387;HI
0;Hawaii;2024;1446146;HI
0;Idaho;1990;1012384;ID
0;Idaho;1991;1041316;ID
0;Idaho;1992;1071685;ID
0;Idaho;1993;1108768;ID
0;Idaho;1994;1145140;ID
0;Idaho;1995;1177322;ID
0;Idaho;1996;1203083;ID
0;Idaho;1997;1228520;ID
0;Idaho;1998;1252330;ID
0;Idaho;1999;1275674;ID
0;Idaho;2000;1299430;ID
0;Idaho;2001;1319962;ID
0;Idaho;2002;1340372;ID
0;Idaho;2003;1363380;ID
0;Idaho;2004;1391802;ID
0;Idaho;2005;1428241;ID
0;Idaho;2006;1468669;ID
0;Idaho;2007;1505105;ID
0;Idaho;2008;1534320;ID
0;Idaho;2009;1554439;ID
0;Idaho;2010;1570819;ID
0;Idaho;2011;1584272;ID
0;Idaho;2012;1595910;ID
0;Idaho;2013;1612053;ID
0;Idaho;2014;1632248;ID
0;Idaho;2015;1652495;ID
0;Idaho;2016;1684036;ID
0;Idaho;2017;1719745;ID
0;Idaho;2018;1752074;ID
0;Idaho;2019;1789060;ID
0;Idaho;2020;1849415;ID
0;Idaho;2021;1904848;ID
0;Idaho;2022;1944299;ID
0;Idaho;2023;1971122;ID
0;Idaho;2024;2001619;ID
0;Illinois;1990;11453316;IL
0;Illinois;1991;11568964;IL
0;Illinois;1992;11694184;IL
0;Illinois;1993;11809579;IL
0;Illinois;1994;11912585;IL
0;Illinois;1995;12008437;IL
0;Illinois;1996;12101997;IL
0;Illinois;1997;12185715;IL
0;Illinois;1998;12271847;IL
0;Illinois;1999;12359020;IL
0;Illinois;2000;12434161;IL
0;Illinois;2001;12488445;IL
0;Illinois;2002;12525556;IL
0;Illinois;2003;12556006;IL
0;Illinois;2004;12589773;IL
0;Illinois;2005;12609903;IL
0;Illinois;2006;12643955;IL
0;Illinois;2007;12695866;IL
0;Illinois;2008;12747038;IL
0;Illinois;2009;12796778;IL
0;Illinois;2010;12840545;IL
0;Illinois;2011;12867783;IL
0;Illinois;2012;12883029;IL
0;Illinois;2013;12895778;IL
0;Illinois;2014;12885092;IL
0;Illinois;2015;12859585;IL
0;Illinois;2016;12821709;IL
0;Illinois;2017;12779893;IL
0;Illinois;2018;12724685;IL
0;Illinois;2019;12667017;IL
0;Illinois;2020;12799088;IL
0;Illinois;2021;12700641;IL
0;Illinois;2022;12621821;IL
0;Illinois;2023;12642259;IL
0;Illinois;2024;12710158;IL
0;Indiana;1990;5557798;IN
0;Indiana;1991;5616388;IN
0;Indiana;1992;5674547;IN
0;Indiana;1993;5739019;IN
0;Indiana;1994;5793526;IN
0;Indiana;1995;5851459;IN
0;Indiana;1996;5906013;IN
0;Indiana;1997;5955267;IN
0;Indiana;1998;5998881;IN
0;Indiana;1999;6044970;IN
0;Indiana;2000;6091866;IN
0;Indiana;2001;6127760;IN
0;Indiana;2002;6155967;IN
0;Indiana;2003;6196638;IN
0;Indiana;2004;6233007;IN
0;Indiana;2005;6278616;IN
0;Indiana;2006;6332669;IN
0;Indiana;2007;6379599;IN
0;Indiana;2008;6424806;IN
0;Indiana;2009;6459325;IN
0;Indiana;2010;6490555;IN
0;Indiana;2011;6517250;IN
0;Indiana;2012;6538989;IN
0;Indiana;2013;6570575;IN
0;Indiana;2014;6596019;IN
0;Indiana;2015;6611442;IN
0;Indiana;2016;6637898;IN
0;Indiana;2017;6662068;IN
0;Indiana;2018;6698481;IN
0;Indiana;2019;6731010;IN
0;Indiana;2020;6790497;IN
0;Indiana;2021;6815907;IN
0;Indiana;2022;6844545;IN
0;Indiana;2023;6880131;IN
0;Indiana;2024;6924275;IN
0;Iowa;1990;2781018;IA
0;Iowa;1991;2797613;IA
0;Iowa;1992;2818401;IA
0;Iowa;1993;2836972;IA
0;Iowa;1994;2850746;IA
0;Iowa;1995;2867373;IA
0;Iowa;1996;2880001;IA
0;Iowa;1997;2891119;IA
0;Iowa;1998;2902872;IA
0;Iowa;1999;2917634;IA
0;Iowa;2000;2929067;IA
0;Iowa;2001;2931997;IA
0;Iowa;2002;2934234;IA
0;Iowa;2003;2941999;IA
0;Iowa;2004;2953635;IA
0;Iowa;2005;2964454;IA
0;Iowa;2006;2982644;IA
0;Iowa;2007;2999212;IA
0;Iowa;2008;3016734;IA
0;Iowa;2009;3032870;IA
0;Iowa;2010;3050819;IA
0;Iowa;2011;3066772;IA
0;Iowa;2012;3076844;IA
0;Iowa;2013;3093935;IA
0;Iowa;2014;3110643;IA
0;Iowa;2015;3122541;IA
0;Iowa;2016;3133210;IA
0;Iowa;2017;3143734;IA
0;Iowa;2018;3149900;IA
0;Iowa;2019;3159596;IA
0;Iowa;2020;3191141;IA
0;Iowa;2021;3198613;IA
0;Iowa;2022;3202820;IA
0;Iowa;2023;3218414;IA
0;Iowa;2024;3241488;IA
0;Kansas;1990;2481349;KS
0;Kansas;1991;2498722;KS
0;Kansas;1992;2532395;KS
0;Kansas;1993;2556547;KS
0;Kansas;1994;2580513;KS
0;Kansas;1995;2601008;KS
0;Kansas;1996;2614554;KS
0;Kansas;1997;2635292;KS
0;Kansas;1998;2660598;KS
0;Kansas;1999;2678338;KS
0;Kansas;2000;2693681;KS
0;Kansas;2001;2702162;KS
0;Kansas;2002;2713535;KS
0;Kansas;2003;2723004;KS
0;Kansas;2004;2734373;KS
0;Kansas;2005;2745299;KS
0;Kansas;2006;2762931;KS
0;Kansas;2007;2783785;KS
0;Kansas;2008;2808076;KS
0;Kansas;2009;2832704;KS
0;Kansas;2010;2858266;KS
0;Kansas;2011;2869677;KS
0;Kansas;2012;2886024;KS
0;Kansas;2013;2894306;KS
0;Kansas;2014;2901861;KS
0;Kansas;2015;2910717;KS
0;Kansas;2016;2912977;KS
0;Kansas;2017;2910892;KS
0;Kansas;2018;2912748;KS
0;Kansas;2019;2912635;KS
0;Kansas;2020;2938172;KS
0;Kansas;2021;2938338;KS
0;Kansas;2022;2937324;KS
0;Kansas;2023;2951500;KS
0;Kansas;2024;2970606;KS
0;Kentucky;1990;3694048;KY
0;Kentucky;1991;3722328;KY
0;Kentucky;1992;3765469;KY
0;Kentucky;1993;3812206;KY
0;Kentucky;1994;3849088;KY
0;Kentucky;1995;3887427;KY
0;Kentucky;1996;3919536;KY
0;Kentucky;1997;3952747;KY
0;Kentucky;1998;3985391;KY
0;Kentucky;1999;4018053;KY
0;Kentucky;2000;4049021;KY
0;Kentucky;2001;4068132;KY
0;Kentucky;2002;4089875;KY
0;Kentucky;2003;4117170;KY
0;Kentucky;2004;4146101;KY
0;Kentucky;2005;4182742;KY
0;Kentucky;2006;4219239;KY
0;Kentucky;2007;4256672;KY
0;Kentucky;2008;4289878;KY
0;Kentucky;2009;4317074;KY
0;Kentucky;2010;4348464;KY
0;Kentucky;2011;4370817;KY
0;Kentucky;2012;4387865;KY
0;Kentucky;2013;4406906;KY
0;Kentucky;2014;4416992;KY
0;Kentucky;2015;4429126;KY
0;Kentucky;2016;4440306;KY
0;Kentucky;2017;4455590;KY
0;Kentucky;2018;4464273;KY
0;Kentucky;2019;4472345;KY
0;Kentucky;2020;4508318;KY
0;Kentucky;2021;4507583;KY
0;Kentucky;2022;4519233;KY
0;Kentucky;2023;4550595;KY
0;Kentucky;2024;4588372;KY
0;Louisiana;1990;4221532;LA
0;Louisiana;1991;4253279;LA
0;Louisiana;1992;4293003;LA
0;Louisiana;1993;4316428;LA
0;Louisiana;1994;4347481;LA
0;Louisiana;1995;4378779;LA
0;Louisiana;1996;4398877;LA
0;Louisiana;1997;4421072;LA
0;Louisiana;1998;4440344;LA
0;Louisiana;1999;4460811;LA
0;Louisiana;2000;4471885;LA
0;Louisiana;2001;4477875;LA
0;Louisiana;2002;4497267;LA
0;Louisiana;2003;4521042;LA
0;Louisiana;2004;4552238;LA
0;Louisiana;2005;4576628;LA
0;Louisiana;2006;4302665;LA
0;Louisiana;2007;4375581;LA
0;Louisiana;2008;4435586;LA
0;Louisiana;2009;4491648;LA
0;Louisiana;2010;4544635;LA
0;Louisiana;2011;4576244;LA
0;Louisiana;2012;4602067;LA
0;Louisiana;2013;4626040;LA
0;Louisiana;2014;4645938;LA
0;Louisiana;2015;4666998;LA
0;Louisiana;2016;4681346;LA
0;Louisiana;2017;4673673;LA
0;Louisiana;2018;4664450;LA
0;Louisiana;2019;4658285;LA
0;Louisiana;2020;4652301;LA
0;Louisiana;2021;4627971;LA
0;Louisiana;2022;4593687;LA
0;Louisiana;2023;4588071;LA
0;Louisiana;2024;4597740;LA
0;Maine;1990;1231719;ME
0;Maine;1991;1237081;ME
0;Maine;1992;1238508;ME
0;Maine;1993;1242302;ME
0;Maine;1994;1242662;ME
0;Maine;1995;1243481;ME
0;Maine;1996;1249060;ME
0;Maine;1997;1254774;ME
0;Maine;1998;1259127;ME
0;Maine;1999;1266808;ME
0;Maine;2000;1277072;ME
0;Maine;2001;1285692;ME
0;Maine;2002;1295960;ME
0;Maine;2003;1306513;ME
0;Maine;2004;1313688;ME
0;Maine;2005;1318787;ME
0;Maine;2006;1323619;ME
0;Maine;2007;1327040;ME
0;Maine;2008;1330509;ME
0;Maine;2009;1329590;ME
0;Maine;2010;1327651;ME
0;Maine;2011;1328473;ME
0;Maine;2012;1328094;ME
0;Maine;2013;1328543;ME
0;Maine;2014;1331217;ME
0;Maine;2015;1329098;ME
0;Maine;2016;1332348;ME
0;Maine;2017;1335743;ME
0;Maine;2018;1340123;ME
0;Maine;2019;1345770;ME
0;Maine;2020;1364571;ME
0;Maine;2021;1378931;ME
0;Maine;2022;1390922;ME
0;Maine;2023;1399646;ME
0;Maine;2024;1405012;ME
0;Maryland;1990;4799770;MD
0;Maryland;1991;4867641;MD
0;Maryland;1992;4923369;MD
0;Maryland;1993;4971889;MD
0;Maryland;1994;5023060;MD
0;Maryland;1995;5070033;MD
0;Maryland;1996;5111986;MD
0;Maryland;1997;5157328;MD
0;Maryland;1998;5204464;MD
0;Maryland;1999;5254509;MD
0;Maryland;2000;5311034;MD
0;Maryland;2001;5374691;MD
0;Maryland;2002;5440389;MD
0;Maryland;2003;5496269;MD
0;Maryland;2004;5546935;MD
0;Maryland;2005;5592379;MD
0;Maryland;2006;5627367;MD
0;Maryland;2007;5653408;MD
0;Maryland;2008;5684965;MD
0;Maryland;2009;5730388;MD
0;Maryland;2010;5788784;MD
0;Maryland;2011;5840241;MD
0;Maryland;2012;5888375;MD
0;Maryland;2013;5925197;MD
0;Maryland;2014;5960064;MD
0;Maryland;2015;5988528;MD
0;Maryland;2016;6007014;MD
0;Maryland;2017;6028186;MD
0;Maryland;2018;6042153;MD
0;Maryland;2019;6054954;MD
0;Maryland;2020;6177935;MD
0;Maryland;2021;6179403;MD
0;Maryland;2022;6192440;MD
0;Maryland;2023;6217062;MD
0;Maryland;2024;6263220;MD
0;Massachusetts;1990;6022639;MA
0;Massachusetts;1991;6018470;MA
0;Massachusetts;1992;6028709;MA
0;Massachusetts;1993;6060569;MA
0;Massachusetts;1994;6095241;MA
0;Massachusetts;1995;6141445;MA
0;Massachusetts;1996;6179756;MA
0;Massachusetts;1997;6226058;MA
0;Massachusetts;1998;6271838;MA
0;Massachusetts;1999;6317345;MA
0;Massachusetts;2000;6361104;MA
0;Massachusetts;2001;6397634;MA
0;Massachusetts;2002;6417206;MA
0;Massachusetts;2003;6422565;MA
0;Massachusetts;2004;6412281;MA
0;Massachusetts;2005;6403290;MA
0;Massachusetts;2006;6410084;MA
0;Massachusetts;2007;6431559;MA
0;Massachusetts;2008;6468967;MA
0;Massachusetts;2009;6517613;MA
0;Massachusetts;2010;6566440;MA
0;Massachusetts;2011;6614218;MA
0;Massachusetts;2012;6664269;MA
0;Massachusetts;2013;6715158;MA
0;Massachusetts;2014;6764864;MA
0;Massachusetts;2015;6797484;MA
0;Massachusetts;2016;6827280;MA
0;Massachusetts;2017;6863560;MA
0;Massachusetts;2018;6885720;MA
0;Massachusetts;2019;6894883;MA
0;Massachusetts;2020;6994598;MA
0;Massachusetts;2021;7000474;MA
0;Massachusetts;2022;7022468;MA
0;Massachusetts;2023;7066568;MA
0;Massachusetts;2024;7136171;MA
0;Michigan;1990;9311319;MI
0;Michigan;1991;9400446;MI
0;Michigan;1992;9479065;MI
0;Michigan;1993;9540114;MI
0;Michigan;1994;9597737;MI
0;Michigan;1995;9676211;MI
0;Michigan;1996;9758645;MI
0;Michigan;1997;9809051;MI
0;Michigan;1998;9847942;MI
0;Michigan;1999;9897116;MI
0;Michigan;2000;9952450;MI
0;Michigan;2001;9991120;MI
0;Michigan;2002;10015710;MI
0;Michigan;2003;10041152;MI
0;Michigan;2004;10055315;MI
